CALL5 PP4C
MO4L2 SRCAP
CY1 QCR7
MEN1 RPB1
GDE1 RGS16
CSK22 RL24
ORC4 XRCC5
MTG16 TFE2
MOES SIR7
BATF3 CEBPG
RAN TPR
CP250 HP1B3
SP100 TRUA
A4 K1143
BRD2 BRD4
PSA4 PSMD2
H2B2E TNPO1
SEPT2 ZN326
GCR KDM5A
CHD4 UBF1
CDK2 MPIP2
ICT1 VDAC3
IKZF3 MGN2
1433G ZN295
P85B PK3CA
NUCL UBL4A
EP300 PCKGM
IRS1 NISCH
FXL18 PLS1
CXCR4 JAK1
INT6 RPB1
EGFR TLR2
AAKB1 UB2L3
CH60 STK25
PAR6A SMUF2
BIRC2 IKKB
SHLB2 THG1
SYUA TAU
HS90B SNW1
H2B2E HDGF
KC1A TCPQ
DNMBP WASL
FA54B HAUS2
FLNC ITA11
CDK8 SUZ12
PDIA6 TNR14
TPC10 TPC2A
AT5F1 DHSA
FAS UBP2
TBB5 TF65
DCTN2 TPM4
CCNH RPB1
CO6 FINC
EGR1 NAB1
RS3 VHL
LEO1 PEX2
APLP1 IF2B
AAPK1 RS7
CSN5 RL18A
PRKN2 PSMD4
CHD9 GCR
THA11 TPX2
LOXL4 RD23A
2ABA ATR
ESR1 HSP74
UBQL1 VATB2
P53 RL12
NDUB8 SAM50
ANR28 UACA
PSDE SUMO2
AMRA1 DDA1
CSK21 NCOR1
BCL6 IDI2
H31 KPCB
GRAP2 RBPMS
ASB2 CUL2
LAT PLCG1
FOPNL PCM1
TAF2 TERF2
HACE1 UB2L3
GNAI2 GNAO
PTMA RCC1
BLM SUMO1
CYH2 PLPL2
1B07 DAD1
ANDR DDC
1433G SHKB1
ST65G TAF10
ANXA1 WWOX
GRB2 SMRD3
CRCM PUR4
GBRL1 PGK1
EFHD2 PTN11
ASAP1 PACN3
GRP78 S61A1
OSTCN VKGC
AMOT MYPC2
BTK WASF2
CSK22 ECHA
THOC1 VPS53
PAR6B PAR6G
CDK5 PSN1
HS105 PGK1
CNO NRF1
TPC6A TPC6B
MA7D2 NRF1
LXN PPM1A
ATPG SAV1
CDC42 NRF1
GBRL1 RS27A
EP300 IRF1
MORN2 MPP3
NKX25 TBX5
AHDC1 ZDH17
ITA3 ITB5
1B07 CSN3
ERBB3 RT18B
IMA7 KAD6
RS10 WIBG
MEPCE PPGB
CT194 HS90B
RABP2 UBC9
HDGF LAP2A
CMA1 SCF
THUM1 THUM3
SKP1 TRRAP
GUAA RAB1A
CABIN PP2BC
NOL8 RRAGD
RL19 STK24
ITB5 PIAS2
CNOT1 SNW1
NOMO3 RYK
EPOR GAB2
AURKC SRPK1
AKAP5 IRK2
NHRF2 PHLP2
BNIPL FKBP8
RBBP5 TBA4A
ACTA FSCN1
